Id,Genotype,Milieu,Plate,PR_length,Tortuosity,RootArea,LR_length,Grouping,Plants/group,distanceFromHypocotyl,ShootArea,Chlorophyll
M2_7,sex1,Milieu_3,Plate_2,2.636,1.135,0.064,2,11,1,1.152,0.044,0.509
M2_8,sex1,Milieu_3,Plate_2,0.295,1.080,0.012,2,13,1,0.000,0.014,0.133
M2_9,sex1,Milieu_3,Plate_2,0.905,1.054,0.023,1,14,1,0.000,0.015,0.178
M2_10,sex1,Milieu_3,Plate_2,0.483,1.102,0.017,1,12,1,0.000,0.017,0.163
M2_11,sex1,Milieu_3,Plate_2,0.068,1.000,0.004,0,10,1,0.000,0.012,0.140
M2_12,sex1,Milieu_3,Plate_2,0.478,1.033,0.014,1,8,1,0.000,0.012,0.149
M2_13,sex1,Milieu_3,Plate_2,0.745,1.034,0.020,1,5,1,0.000,0.017,0.211
M2_14,sex1,Milieu_3,Plate_2,0.583,1.043,0.012,1,2,1,0.000,0.009,0.115
N1_1,sex1,Milieu_4,Plate_1,7.792,1.237,0.219,8,2,1,1.269,0.160,3.600
N1_2,sex1,Milieu_4,Plate_1,1.35,1.269,0.026,0,1,1,0.000,0.006,0.119
N1_3,sex1,Milieu_4,Plate_1,5.431,1.117,0.169,5.67,4,3,1.171,0.066,1.366
N1_4,sex1,Milieu_4,Plate_1,1.893,1.197,0.047,1,3,1,0.000,0.019,0.373
N1_5,sex1,Milieu_4,Plate_1,8.56,1.110,0.169,5.67,4,3,1.171,0.200,4.810
N1_6,sex1,Milieu_4,Plate_1,4.958,1.178,0.169,5.67,4,3,1.171,0.066,1.298
N1_7,sex1,Milieu_4,Plate_1,10.726,1.122,0.218,9.5,5,6,1.980,0.279,6.256
N1_8,sex1,Milieu_4,Plate_1,4.12,1.136,0.218,9.5,5,6,1.980,0.069,1.519
N1_9,sex1,Milieu_4,Plate_1,9.264,1.175,0.218,9.5,5,6,1.980,0.120,2.680
N1_10,sex1,Milieu_4,Plate_1,5.578,1.195,0.218,9.5,5,6,1.980,0.059,1.557
